coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sun Jun 21 01:11:47 +0000 2020,TulsaTrumpRally TrumpRally TrumpsCoronavirusRally Tulsa,,,3,1274510293666680832,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Trump: Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church… They want to punish your thought, but not their violent crime.



[None of that is true]

#TulsaTrumpRally #TrumpRally #TrumpsCoronavirusRally #Tulsa",https://twitter.com/NorwoodAye/status/1274510293666680832,Thu Jul 26 23:55:53 +0000 2012,NorwoodAye,false,Mumbling into the void.,30296,247,567,6,"Mesa, AZ","You Dont Know Me, But...",NorwoodAye,5622,,https://twitter.com/search/from:norwoodaye(exclude:replies),false
,Thu Jun 25 16:52:43 +0000 2020,,,,1,1276196635861823488,thfc_ishan,1276194517906010000,1159072455421546500,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@thfc_ishan I know hes actually said “If we stopped testing right now, we’d have very few cases, if any”
I guess that’s his plan on how to make the virus disappear, just don’t test of course, that makes sense 🙄 he’s going to any length to make it look like he’s done well against the virus.",https://twitter.com/PrimeAmir/status/1276196635861823488,Wed Apr 01 14:41:00 +0000 2020,PrimeAmir,false,has that special something | priv: @primeamirv2,85006,1435,1228,5,NJ,𝘼𝙢𝙞𝙧 🧸,PrimeAmir,62633,,,false
,Sun Jun 28 16:50:43 +0000 2020,,,,0,1277283295521316867,realDonaldTrump,1276967409925193700,25073877,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@realDonaldTrump And you said ""nobody ever heard of juneteenth""; ""if we stopped testing right now, we'd have very few cases, if any""; ""we've tested more than every country combined"". 23.3 lies per day in 2020.",https://twitter.com/CyberCanvas/status/1277283295521316867,Wed Sep 09 04:42:36 +0000 2009,CyberCanvas,false,,51,17,27,0,"Ottawa, Ontario",Rob Gervais,CyberCanvas,53,,,false
,Sun Jun 21 05:05:28 +0000 2020,,,,0,1274569102040784897,,,,en,,,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","“Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”
—@realDonaldTrump",https://twitter.com/busybirdie10/status/1274569102040784897,Wed Apr 07 02:05:39 +0000 2010,busybirdie10,false,Pro-Life. Hispanic. Former Atheist. ✝️🇺🇸🇮🇱,67557,1378,112,2,So. Cal.,Birdie,busybirdie10,45938,,,false
,Sat Jun 27 03:45:32 +0000 2020,believe thing REALLY FALSE,,https://www.politifact.com/factchecks/2020/jun/26/instagram-posts/face-mask-exempt-card-doesnt-exempt-you-wearing-ma/,1,1276723310798213124,,,,en,"Ohio, USA",false,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","People actually #believe that there is such a #thing as ""Freedom to Breathe Agency""?? #REALLY??
🙄🙄🙄😖😖😖

This is, of course
#FALSE!
👇👇👇

A “face mask exempt card” allows you to cite the ADA and not wear a mask.

https://t.co/equnx7dx5G",https://twitter.com/redhed67/status/1276723310798213124,Sun May 17 03:41:10 +0000 2009,redhed67,false,"Progressive. Activist. Passionate and Bold. I *heart* PBO. Please follow back! If I don't follow back right away, hang in there! P.S. RWNJs will be blocked.",94607,12613,12767,340,Haunting the GOP's nightmares.,Gina,redhed67,396255,,,false
,Sun Jun 28 16:48:07 +0000 2020,,,https://twitter.com/realDonaldTrump/status/1277219673315119106,4,1277282643718127616,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","“If we stopped testing right now, we’d have very few cases, if any.” - the biggest brain in the world https://t.co/InWQLttgyV",https://twitter.com/brnthrnt/status/1277282643718127616,Sat Dec 24 19:51:12 +0000 2016,brnthrnt,false,ur favorite substitute,4843,116,184,0,"Louisiana, USA",everett,brnthrnt,1546,,,false
,Fri Jun 26 12:23:37 +0000 2020,,,https://twitter.com/SteveGuest/status/1276266215556743171,0,1276491302952148993,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1. Trump said before he planned a rally on June 19 “nobody had ever heard of” Juneteenth.

2. Said “If we stopped testing right now, we'd have very few cases, if any.”

3. Says he’s the one who gave the nickname “Mad Dog” to former Defense Secretary James Mattis. https://t.co/gYrHWBNJid",https://twitter.com/Fermtech2269/status/1276491302952148993,Fri Aug 03 05:54:52 +0000 2018,Fermtech2269,false,"If fascism can be destroyed by the truth, fascism deserves to be destroyed by the truth. -Me he/him",39568,3619,4247,4,1060 W. Addison St. Chicago,Mr. #BlackLivesMatter Roper,Fermtech2269,25386,,,false
,Sat Jun 27 16:48:09 +0000 2020,,https://twitter.com/Jordantc99/status/1276920264249364486/photo/1,,2,1276920264249364486,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","“We have it totally under control” “Today I am instructing my administration to halt funding of the World Health Organization”.              ”If we stopped testing right now, we’d have very few cases, if any.” https://t.co/8tPPO01xZU",https://twitter.com/Jordantc99/status/1276920264249364486,Fri Oct 20 04:43:10 +0000 2017,Jordantc99,false,,198,17,157,0,"Utrecht, Nederland",Jordan Crowther,Jordantc99,73,,,false
,Mon Jun 22 14:48:17 +0000 2020,COVID19,,https://khn.org/MTEyMDc4Mw,0,1275078156819378178,,,,en,,false,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","“If you don’t test, you don’t have any cases,” @realDonaldTrump said. “If we stopped testing right now, we’d have very few cases, if any.”

Testing doesn’t create the virus. Even without diagnostics, #COVID19 would still pose a problem. 

📝: @shefalil https://t.co/W59Wqc0aO3",https://twitter.com/tarena_social/status/1275078156819378178,Mon Jul 08 15:27:22 +0000 2019,tarena_social,false,Deputy Social Media Editor at @KHNews. Former Congressional Intern. Indiana University Alumna 👩🏾‍🎓. 1908. #SMM,1897,349,439,8,"Washington, DC",Tarena Lofton,tarena_social,1746,,https://khn.org/search/tarena+lofton/,true
,Sun Jun 21 14:46:30 +0000 2020,,,https://axios.com/trump-coronavirus-testing-overrated-cf847872-20d0-48b1-95dd-34af301642c0.html,0,1274715320272523266,realDonaldTrump,1273975267753590800,25073877,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@realDonaldTrump @AndrewBates
Not only is the ""joke"" tactic long-discredited, but look at what Trump said *before*:
""Trump calls coronavirus testing 'overrated,' says it 'makes us look bad'"" https://t.co/LDF20t8cg5
""If we stopped testing right now, we’d have very few cases, if any.""",https://twitter.com/Resisti63283290/status/1274715320272523266,Tue Jan 15 19:07:29 +0000 2019,Resisti63283290,false,,1246,22,213,0,,Resisting,Resisti63283290,6444,,,false
,Thu Jun 18 00:40:03 +0000 2020,,https://twitter.com/ThePerezHilton/status/1273415144287227905/video/1,,11,1273415144287227905,,,,en,,false,1,,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","“If we stopped testing right now, we’d have very few cases - if any.” - Donald Trump on coronavirus https://t.co/5uztN2O5nX",https://twitter.com/ThePerezHilton/status/1273415144287227905,Fri Oct 09 18:29:57 +0000 2015,ThePerezHilton,false,This is the personal account for Perez Hilton. He's a proud dad and founder of one of the most famous websites in the world. Follow it at @PerezHilton,1093924,130358,1341,576,"Los Angeles, CA",Perez,ThePerezHilton,175874,,https://hoo.be/perezhilton,true
,Thu Jun 18 19:17:01 +0000 2020,LittleChiefBunkerBitch TrumpIsNotWell,,,0,1273696234109317121,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",President Trump is breathtakingly dumb quote “if we stopped testing right now we’d have very few cases if any” in other words if we stop the testing the virus will go away 🤦🏿‍♂️ #LittleChiefBunkerBitch #TrumpIsNotWell,https://twitter.com/i_slim23/status/1273696234109317121,Mon Jun 17 13:58:35 +0000 2013,i_slim23,false,Even Genius Ask Questions. snapchat: i_slim,101,119,185,1,London,i_slim,i_slim23,933,,,false
,Wed Jun 17 14:59:40 +0000 2020,,,https://twitter.com/DaveSelig/status/1273266967114375168,0,1273269085988667392,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","“If we stopped testing right now, we’d have very few cases, if any.”
                 -An Asshole https://t.co/8fqCuVSNzU",https://twitter.com/cds1029/status/1273269085988667392,Tue Dec 23 16:40:22 +0000 2008,cds1029,false,Your Mother,12971,252,714,7,The Sun Shine State,Christopher,cds1029,20084,,,false
,Wed Jun 24 14:41:24 +0000 2020,,,https://atxne.ws/3fT07bX,19,1275801200278020097,,,,en,,false,3,,,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","“Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church,” President Trump said.

Those claims do not align with statements from Biden or other leading Democrats. https://t.co/ewDegfq8RV",https://twitter.com/statesman/status/1275801200278020097,Tue May 01 19:36:41 +0000 2007,statesman,false,"Leading source of daily news for Austin, Texas. Support local news and become a subscriber: https://t.co/M2w6phANlC",629,319417,18479,5316,"Austin, Texas",Austin Statesman,statesman,163912,,http://statesman.com,true
,Sun Jun 21 01:13:41 +0000 2020,,,,0,1274510769208492032,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.""--Trump rally",https://twitter.com/davidleejoy/status/1274510769208492032,Wed Dec 29 19:17:46 +0000 2010,davidleejoy,false,"Owner, All Star Media; Set great goals, work hard and good things will happen. Defender of Liberty and small business",1181,161,194,18,"Las Vegas, NV",david lee joy,davidleejoy,15884,,http://allstartapes.com,false
,Sat Jun 27 11:47:07 +0000 2020,,,,1,1276844506013458432,Aselly22,1276812085368811500,1551484843,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Aselly22 @NotonMy06517619 @parscale OMG! 
I gave you 5  off the top of my head, and you choose to make excuses for every single one of them. 
During a round table discussion:
6/15/20: if we stopped testing right now we’d have very few cases if any. 

BOLD FACE LIE!",https://twitter.com/09samiam/status/1276844506013458432,Sat Jun 02 18:43:36 +0000 2012,09samiam,false,obsessive knitter. yarn snob. #BLM #saveUSPS #dumptrump #BidenHarris,54763,6079,6543,2,USA,wear a damn mask,09samiam,18323,,,false
,Fri Jun 19 21:30:09 +0000 2020,,,,1,1274092128747094016,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","So Trump stated “If we stopped testing right now, we’d have very few cases, if any.” 

That's like stating during a baby shower ""If you don't take a pregnancy test, even if you don't use protection your not going to end up pregnant."" 

It just isn't logical!",https://twitter.com/GoldbeEric/status/1274092128747094016,Sun Dec 09 17:49:47 +0000 2018,GoldbeEric,false,"Posts & Comments strictly Own View. 
Retweets ≠ Endorsement. DM me for Signal In-House Counsel @OpenInsulin #65roses #CysticFibrosis #CFRD",5540,273,1524,1,"Brooklyn, NY",Eric Goldberg (We),GoldbeEric,4992,,https://linktr.ee/Egoldbe,false
